,Département,Niveau de vie département
0,1,22344
1,2,18111
2,3,18829
3,4,19008
4,5,19203
5,6,20307
6,7,19028
7,8,17983
8,9,18463
9,10,18937
10,11,17600
11,12,19069
12,13,20007
13,14,19775
14,15,18693
15,16,19133
16,17,19677
17,18,19395
18,19,19241
19,21,20876
20,22,19903
21,23,17707
22,24,18688
23,25,20761
24,26,19301
25,27,20105
26,28,20599
27,29,20248
28,30,18283
29,31,21666
30,32,19445
31,33,20905
32,34,18686
33,35,20791
34,36,18808
35,37,20309
36,38,21318
37,39,20030
38,40,20032
39,41,19827
40,42,19176
41,43,19099
42,44,20947
43,45,20529
44,46,19271
45,47,18468
46,48,18757
47,49,19465
48,50,19256
49,51,20015
50,52,18612
51,53,19237
52,54,20148
53,55,19025
54,56,20251
55,57,20213
56,58,18836
57,59,18710
58,60,20774
59,61,18492
60,62,17738
61,63,20539
62,64,20479
63,65,19142
64,66,17813
65,67,21221
66,68,21891
67,69,21695
68,70,18851
69,71,19251
70,72,19478
71,73,21167
72,74,24708
73,75,27171
74,76,19835
75,77,22056
76,78,26305
77,79,19394
78,80,18766
79,81,19095
80,82,18638
81,83,19998
82,84,18276
83,85,19684
84,86,19527
85,87,19305
86,88,18847
87,89,19360
88,90,19732
89,91,23142
90,92,26919
91,93,17192
92,94,22314
93,95,21296
94,2A,19525
95,2B,18016
